theta_deg,Cp,V_real,V_imag
0.0000,1.0000,0.0000,0.0000
10.2857,0.8725,0.0638,0.3514
20.5714,0.5061,0.2469,0.6579
30.8571,-0.0523,0.5261,0.8806
41.1429,-0.7315,0.8658,0.9909
51.4286,-1.4450,1.2225,0.9749
61.7143,-2.1018,1.5509,0.8346
72.0000,-2.6180,1.8090,0.5878
82.2857,-2.9279,1.9640,0.2660
92.5714,-2.9919,1.9960,-0.0896
102.8571,-2.8019,1.9010,-0.4339
113.1429,-2.3821,1.6911,-0.7228
123.4286,-1.7861,1.3930,-0.9195
133.7143,-1.0897,1.0449,-0.9990
144.0000,-0.3820,0.6910,-0.9511
154.2857,0.2470,0.3765,-0.7818
164.5714,0.7169,0.1416,-0.5129
174.8571,0.9679,0.0161,-0.1786
185.1429,0.9679,0.0161,0.1786
195.4286,0.7169,0.1416,0.5129
205.7143,0.2470,0.3765,0.7818
216.0000,-0.3820,0.6910,0.9511
226.2857,-1.0897,1.0449,0.9990
236.5714,-1.7861,1.3930,0.9195
246.8571,-2.3821,1.6911,0.7228
257.1429,-2.8019,1.9010,0.4339
267.4286,-2.9919,1.9960,0.0896
277.7143,-2.9279,1.9640,-0.2660
288.0000,-2.6180,1.8090,-0.5878
298.2857,-2.1018,1.5509,-0.8346
308.5714,-1.4450,1.2225,-0.9749
318.8571,-0.7315,0.8658,-0.9909
329.1429,-0.0523,0.5261,-0.8806
339.4286,0.5061,0.2469,-0.6579
349.7143,0.8725,0.0638,-0.3514
360.0000,1.0000,0.0000,-0.0000
